id,name,normalized_name,created_by,created_at,updated_at
sub_5734fd48,Data Structures using C++,data structures using c,ADMIN,2026-03-29T13:32:09.902Z,2026-04-06T07:06:50.074Z
sub_2ccd14c6,Numerical Ability,numerical ability,ADMIN,2026-03-30T00:24:33.813Z,2026-04-06T07:06:50.099Z
sub_a31c5f06,Generative AI,generative ai,ADMIN,2026-03-30T01:17:43.843Z,2026-04-06T07:06:50.123Z
sub_a024ecb3,Data Structures,data structures,ADMIN,2026-03-29T09:04:00.239Z,2026-04-06T07:06:50.145Z
sub_6c89f072,Building LLM Applications,building llm applications,ADMIN,2026-03-29T09:11:31.692Z,2026-04-06T07:06:50.167Z
sub_3a59846e,Database Management Systems,database management systems,ADMIN,2026-03-29T09:11:31.293Z,2026-04-06T07:06:50.189Z
sub_f039f47f,Communicative English,communicative english,ADMIN,2026-03-29T22:54:15.480Z,2026-04-06T07:06:50.209Z
sub_7c1b53e0,Web Application Development,web application development,ADMIN,2026-03-29T09:11:30.804Z,2026-04-06T07:06:50.231Z
